Arquivo,Algoritmo,Exec1,Exec2,Exec3,Exec4,Exec5,Media
nomes100k.txt,bubble,581.169000,586.671000,576.310000,580.601000,572.761000,579.502400
nomes100k.txt,selection,254.040000,253.998000,253.932000,253.458000,253.914000,253.868400
nomes100k.txt,insertion,256.824000,256.319000,256.497000,257.120000,256.775000,256.707000
